steps,episodes,elapsed,mean,median,stdev,max,min,average_q,average_loss,cumulative_steps,n_updates,rlen
306102,102,10081.480130195618,0.4000000134110451,0.4000000134110451,0.0,0.4000000134110451,0.4000000134110451,nan,3.689294862747192,306102,71525,200000
309103,103,10183.147429227829,0.8000000193715096,0.8000000193715096,0.0,0.8000000193715096,0.8000000193715096,nan,3.6902767324447634,309103,72275,200000
312104,104,10291.825916051865,-1.099999986588955,-1.099999986588955,0.0,-1.099999986588955,-1.099999986588955,nan,3.689886703491211,312104,73026,200000
315105,105,10400.343406200409,0.4000000059604645,0.4000000059604645,0.0,0.4000000059604645,0.4000000059604645,nan,3.689641420841217,315105,73776,200000
318106,106,10507.230852603912,-1.199999988079071,-1.199999988079071,0.0,-1.199999988079071,-1.199999988079071,nan,3.690657260417938,318106,74526,200000
321107,107,10612.469708681107,0.9000000506639481,0.9000000506639481,0.0,0.9000000506639481,0.9000000506639481,nan,3.6632738852500917,321107,75276,200000
324108,108,10718.358632564545,-1.8999999985098839,-1.8999999985098839,0.0,-1.8999999985098839,-1.8999999985098839,nan,3.6632015991210936,324108,76027,200000
327109,109,10824.972699403763,-0.09999998658895493,-0.09999998658895493,0.0,-0.09999998658895493,-0.09999998658895493,nan,3.663570306301117,327109,76777,200000
330110,110,10932.343904972076,-0.19999998807907104,-0.19999998807907104,0.0,-0.19999998807907104,-0.19999998807907104,nan,3.6629898262023928,330110,77527,200000
333111,111,11038.257229089737,2.2351741790771484e-08,2.2351741790771484e-08,0.0,2.2351741790771484e-08,2.2351741790771484e-08,nan,3.6628407931327818,333111,78277,200000
336112,112,11145.945361852646,0.7000000104308128,0.7000000104308128,0.0,0.7000000104308128,0.7000000104308128,nan,3.66307187795639,336112,79028,200000
339113,113,11254.38310289383,1.0000000223517418,1.0000000223517418,0.0,1.0000000223517418,1.0000000223517418,nan,3.663062264919281,339113,79778,200000
342114,114,11363.580369710922,3.725290298461914e-08,3.725290298461914e-08,0.0,3.725290298461914e-08,3.725290298461914e-08,nan,3.6633747482299803,342114,80528,200000
345115,115,11471.715379476547,0.6000000089406967,0.6000000089406967,0.0,0.6000000089406967,0.6000000089406967,nan,3.6625495862960817,345115,81278,200000
348116,116,11580.585107088089,0.4000000134110451,0.4000000134110451,0.0,0.4000000134110451,0.4000000134110451,nan,3.6633740878105163,348116,82029,200000
351117,117,11689.287647485733,-1.099999986588955,-1.099999986588955,0.0,-1.099999986588955,-1.099999986588955,nan,3.6630054402351377,351117,82779,200000
354118,118,11798.549181699753,-1.2999999523162842,-1.2999999523162842,0.0,-1.2999999523162842,-1.2999999523162842,nan,3.6375862550735474,354118,83529,200000
357119,119,11909.688405513763,-2.299999952316284,-2.299999952316284,0.0,-2.299999952316284,-2.299999952316284,nan,3.6372302627563475,357119,84279,200000
360120,120,12020.840306520462,-5.399999991059303,-5.399999991059303,0.0,-5.399999991059303,-5.399999991059303,nan,3.637693965435028,360120,85030,200000
363121,121,12130.801086425781,-0.19999998062849045,-0.19999998062849045,0.0,-0.19999998062849045,-0.19999998062849045,nan,3.6379029393196105,363121,85780,200000
366122,122,12238.838749885559,-2.4999999925494194,-2.4999999925494194,0.0,-2.4999999925494194,-2.4999999925494194,nan,3.6375490617752075,366122,86530,200000
369123,123,12348.37005162239,1.0000000596046448,1.0000000596046448,0.0,1.0000000596046448,1.0000000596046448,nan,3.6372746062278747,369123,87280,200000
372124,124,12456.833255052567,1.0000000521540642,1.0000000521540642,0.0,1.0000000521540642,1.0000000521540642,nan,3.63709086894989,372124,88031,200000
375125,125,12565.917471170425,-0.4999999925494194,-0.4999999925494194,0.0,-0.4999999925494194,-0.4999999925494194,nan,3.637397754192352,375125,88781,200000
378126,126,12675.592731237411,-0.9999999850988388,-0.9999999850988388,0.0,-0.9999999850988388,-0.9999999850988388,nan,3.6372701358795165,378126,89531,200000
381127,127,12790.461055994034,0.6000000238418579,0.6000000238418579,0.0,0.6000000238418579,0.6000000238418579,nan,3.6376534414291384,381127,90281,200000
384128,128,12906.103471279144,-0.8999999985098839,-0.8999999985098839,0.0,-0.8999999985098839,-0.8999999985098839,nan,3.6282919692993163,384128,91032,200000
387129,129,13019.823207616806,-3.4999999925494194,-3.4999999925494194,0.0,-3.4999999925494194,-3.4999999925494194,nan,3.610351366996765,387129,91782,200000
390130,130,13134.067865610123,-1.299999974668026,-1.299999974668026,0.0,-1.299999974668026,-1.299999974668026,nan,3.6108014369010926,390130,92532,200000
393131,131,13247.216373205185,0.20000000298023224,0.20000000298023224,0.0,0.20000000298023224,0.20000000298023224,nan,3.609880702495575,393131,93282,200000
396132,132,13363.331053495407,-0.19999999552965164,-0.19999999552965164,0.0,-0.19999999552965164,-0.19999999552965164,nan,3.6097909879684447,396132,94033,200000
399133,133,13481.040203094482,0.9000000283122063,0.9000000283122063,0.0,0.9000000283122063,0.9000000283122063,nan,3.610841658115387,399133,94783,200000
402134,134,13597.986732244492,1.0000000596046448,1.0000000596046448,0.0,1.0000000596046448,1.0000000596046448,nan,3.6098074769973754,402134,95533,200000
405135,135,13715.921839475632,1.0000000149011612,1.0000000149011612,0.0,1.0000000149011612,1.0000000149011612,nan,3.61032351732254,405135,96283,200000
408136,136,13832.046773672104,3.000000014901161,3.000000014901161,0.0,3.000000014901161,3.000000014901161,nan,3.610912697315216,408136,97034,200000
411137,137,13949.910466909409,0.7000000104308128,0.7000000104308128,0.0,0.7000000104308128,0.7000000104308128,nan,3.6099148273468016,411137,97784,200000
414138,138,14066.712442159653,2.0000000596046448,2.0000000596046448,0.0,2.0000000596046448,2.0000000596046448,nan,3.6106513118743897,414138,98534,200000
417139,139,14181.484241247177,0.7000000029802322,0.7000000029802322,0.0,0.7000000029802322,0.7000000029802322,nan,3.5819861626625062,417139,99284,200000
420140,140,14296.87325334549,-0.3999999985098839,-0.3999999985098839,0.0,-0.3999999985098839,-0.3999999985098839,nan,3.582405788898468,420140,100035,200000
423141,141,14409.017103910446,0.5000000149011612,0.5000000149011612,0.0,0.5000000149011612,0.5000000149011612,nan,3.5826605367660522,423141,100785,200000
426142,142,14520.559340953827,0.8000000268220901,0.8000000268220901,0.0,0.8000000268220901,0.8000000268220901,nan,3.5827884817123414,426142,101535,200000
429143,143,14634.213784217834,-1.299999974668026,-1.299999974668026,0.0,-1.299999974668026,-1.299999974668026,nan,3.5828842687606812,429143,102285,200000
432144,144,14746.261090517044,0.7000000178813934,0.7000000178813934,0.0,0.7000000178813934,0.7000000178813934,nan,3.5826508235931396,432144,103036,200000
435145,145,14856.283284664154,-0.3999999910593033,-0.3999999910593033,0.0,-0.3999999910593033,-0.3999999910593033,nan,3.5825345849990846,435145,103786,200000
438146,146,14964.38572716713,-0.19999999552965164,-0.19999999552965164,0.0,-0.19999999552965164,-0.19999999552965164,nan,3.5825230884552,438146,104536,200000
441147,147,15075.112978935242,-1.8999999985098839,-1.8999999985098839,0.0,-1.8999999985098839,-1.8999999985098839,nan,3.582865979671478,441147,105286,200000
444148,148,15186.58817076683,0.800000011920929,0.800000011920929,0.0,0.800000011920929,0.800000011920929,nan,3.582769100666046,444148,106037,200000
447149,149,15297.338146686554,-0.29999998956918716,-0.29999998956918716,0.0,-0.29999998956918716,-0.29999998956918716,nan,3.582888872623444,447149,106787,200000
450150,150,15408.49722313881,1.9999999925494194,1.9999999925494194,0.0,1.9999999925494194,1.9999999925494194,nan,3.555015368461609,450150,107537,200000
453151,151,15520.968332767487,0.6000000238418579,0.6000000238418579,0.0,0.6000000238418579,0.6000000238418579,nan,3.555862481594086,453151,108287,200000
456152,152,15632.293295383453,1.000000037252903,1.000000037252903,0.0,1.000000037252903,1.000000037252903,nan,3.555864415168762,456152,109038,200000
459153,153,15744.54364657402,1.9999999850988388,1.9999999850988388,0.0,1.9999999850988388,1.9999999850988388,nan,3.55565554857254,459153,109788,200000
462154,154,15857.682965517044,2.000000014901161,2.000000014901161,0.0,2.000000014901161,2.000000014901161,nan,3.5558952283859253,462154,110538,200000
465155,155,15970.210648536682,-0.5,-0.5,0.0,-0.5,-0.5,nan,3.5553941178321837,465155,111288,200000
468156,156,16080.273570537567,-1.3999999985098839,-1.3999999985098839,0.0,-1.3999999985098839,-1.3999999985098839,nan,3.556008641719818,468156,112039,200000
471157,157,16190.395414829254,0.5000000074505806,0.5000000074505806,0.0,0.5000000074505806,0.5000000074505806,nan,3.555279166698456,471157,112789,200000
474158,158,16299.477534294128,1.9999999850988388,1.9999999850988388,0.0,1.9999999850988388,1.9999999850988388,nan,3.5553524470329285,474158,113539,200000
477159,159,16408.12035536766,0.4000000059604645,0.4000000059604645,0.0,0.4000000059604645,0.4000000059604645,nan,3.554933698177338,477159,114289,200000
480160,160,16517.70144677162,-0.09999998658895493,-0.09999998658895493,0.0,-0.09999998658895493,-0.09999998658895493,nan,3.543502917289734,480160,115040,200000
483161,161,16626.018854379654,-1.8999999985098839,-1.8999999985098839,0.0,-1.8999999985098839,-1.8999999985098839,nan,3.5272072649002073,483161,115790,200000
486162,162,16738.409545898438,0.9000000208616257,0.9000000208616257,0.0,0.9000000208616257,0.9000000208616257,nan,3.527035126686096,486162,116540,200000
489163,163,16847.42860531807,-0.5999999940395355,-0.5999999940395355,0.0,-0.5999999940395355,-0.5999999940395355,nan,3.526869592666626,489163,117290,200000
492164,164,16955.73273897171,0.0,0.0,0.0,0.0,0.0,nan,3.5263954257965087,492164,118041,200000
495165,165,17065.648936271667,0.10000000149011612,0.10000000149011612,0.0,0.10000000149011612,0.10000000149011612,nan,3.52687753200531,495165,118791,200000
498166,166,17170.30949640274,0.9999999850988388,0.9999999850988388,0.0,0.9999999850988388,0.9999999850988388,nan,3.5269997334480285,498166,119541,200000
501167,167,17272.236383914948,0.8000000193715096,0.8000000193715096,0.0,0.8000000193715096,0.8000000193715096,nan,3.5259469842910764,501167,120291,200000
504168,168,17375.212959766388,0.8000000715255737,0.8000000715255737,0.0,0.8000000715255737,0.8000000715255737,nan,3.526998348236084,504168,121042,200000
507169,169,17476.56623840332,0.6000000163912773,0.6000000163912773,0.0,0.6000000163912773,0.6000000163912773,nan,3.526992621421814,507169,121792,200000
510170,170,17581.033503055573,-0.3999999910593033,-0.3999999910593033,0.0,-0.3999999910593033,-0.3999999910593033,nan,3.5261082291603087,510170,122542,200000
513171,171,17691.39602446556,2.2351741790771484e-08,2.2351741790771484e-08,0.0,2.2351741790771484e-08,2.2351741790771484e-08,nan,3.4997858476638792,513171,123292,200000
516172,172,17801.317363023758,-2.299999989569187,-2.299999989569187,0.0,-2.299999989569187,-2.299999989569187,nan,3.499972641468048,516172,124043,200000
519173,173,17911.282722711563,0.8000000193715096,0.8000000193715096,0.0,0.8000000193715096,0.8000000193715096,nan,3.49931250333786,519173,124793,200000
522174,174,18018.25318288803,0.5000000149011612,0.5000000149011612,0.0,0.5000000149011612,0.5000000149011612,nan,3.4990015053749084,522174,125543,200000
525175,175,18123.118089675903,0.8000000193715096,0.8000000193715096,0.0,0.8000000193715096,0.8000000193715096,nan,3.5002138376235963,525175,126293,200000
528176,176,18227.835021972656,0.4000000134110451,0.4000000134110451,0.0,0.4000000134110451,0.4000000134110451,nan,3.5002385067939756,528176,127044,200000
531177,177,18332.839500188828,-0.5999999940395355,-0.5999999940395355,0.0,-0.5999999940395355,-0.5999999940395355,nan,3.4999429750442506,531177,127794,200000
534178,178,18439.288076639175,0.7000000104308128,0.7000000104308128,0.0,0.7000000104308128,0.7000000104308128,nan,3.498469877243042,534178,128544,200000
537179,179,18548.82356238365,-1.5999999940395355,-1.5999999940395355,0.0,-1.5999999940395355,-1.5999999940395355,nan,3.499464030265808,537179,129294,200000
540180,180,18658.590109586716,1.0000000149011612,1.0000000149011612,0.0,1.0000000149011612,1.0000000149011612,nan,3.4997414231300352,540180,130045,200000
543181,181,18768.496215343475,-0.3999999836087227,-0.3999999836087227,0.0,-0.3999999836087227,-0.3999999836087227,nan,3.499565825462341,543181,130795,200000
546182,182,18880.94012236595,-0.5999999940395355,-0.5999999940395355,0.0,-0.5999999940395355,-0.5999999940395355,nan,3.471604571342468,546182,131545,200000
549183,183,18995.229603767395,0.8000000193715096,0.8000000193715096,0.0,0.8000000193715096,0.8000000193715096,nan,3.4711979699134825,549183,132295,200000
